type_id,type_name,group_id,group_name
11373,Blade,324,Assault Frigate
32788,Cambion,324,Assault Frigate
12036,Dagger,324,Assault Frigate
12044,Enyo,324,Assault Frigate
11375,Erinye,324,Assault Frigate
32207,Freki,324,Assault Frigate
11383,Gatherer,324,Assault Frigate
74141,Geri,324,Assault Frigate
11381,Harpy,324,Assault Frigate
11379,Hawk,324,Assault Frigate
12042,Ishkur,324,Assault Frigate
11400,Jaguar,324,Assault Frigate
11389,Kishar,324,Assault Frigate
3516,Malice,324,Assault Frigate
52250,Nergal,324,Assault Frigate
11393,Retribution,324,Assault Frigate
78414,Shapash,324,Assault Frigate
2834,Utu,324,Assault Frigate
11365,Vengeance,324,Assault Frigate
11371,Wolf,324,Assault Frigate
89807,Anhinga,1201,Attack Battlecruiser
4306,Naga,1201,Attack Battlecruiser
4302,Oracle,1201,Attack Battlecruiser
4308,Talos,1201,Attack Battlecruiser
4310,Tornado,1201,Attack Battlecruiser
24692,Abaddon,27,Battleship
33625,Abaddon Kador Edition,27,Battleship
33623,Abaddon Tash-Murkon Edition,27,Battleship
642,Apocalypse,27,Battleship
34213,Apocalypse Blood Raider Edition,27,Battleship
11936,Apocalypse Imperial Issue,27,Battleship
34215,Apocalypse Kador Edition,27,Battleship
17726,Apocalypse Navy Issue,27,Battleship
34217,Apocalypse Tash-Murkon Edition,27,Battleship
643,Armageddon,27,Battleship
11938,Armageddon Imperial Issue,27,Battleship
32305,Armageddon Navy Issue,27,Battleship
33820,Barghest,27,Battleship
17920,Bhaalgorn,27,Battleship
1918,Concord Army Battleship,27,Battleship
1912,Concord Police Battleship,27,Battleship
1914,Concord Special Ops Battleship,27,Battleship
1916,Concord SWAT Battleship,27,Battleship
645,Dominix,27,Battleship
32307,Dominix Navy Issue,27,Battleship
34441,Dominix Quafe Edition,27,Battleship
24690,Hyperion,27,Battleship
33635,Hyperion Aliastra Edition,27,Battleship
33637,Hyperion Inner Zone Shipping Edition,27,Battleship
47271,Leshak,27,Battleship
17738,Machariel,27,Battleship
24694,Maelstrom,27,Battleship
33633,Maelstrom Krusual Edition,27,Battleship
33631,Maelstrom Nefantar Edition,27,Battleship
641,Megathron,27,Battleship
13202,Megathron Federate Issue,27,Battleship
34239,Megathron Inner Zone Shipping Edition,27,Battleship
17728,Megathron Navy Issue,27,Battleship
34237,Megathron Police Edition,27,Battleship
34118,Megathron Quafe Edition,27,Battleship
33472,Nestor,27,Battleship
17736,Nightmare,27,Battleship
